seed_id,target,program_structure,concrete_opcode_or_interaction,instruction_family,input,native_verify_accept,executed_steps,register_writebacks,static_writeback_sites,main_symbol_range,opcode_census,guest_source,guest_elf
st_redirect,pico,Redirect,LD,memory,"0x1111111111111111,0x2222222222222222",true,5188,4663,4556,0x200bb8-0x200d60,ADD:942:992 ADDW:12:13 AND:248:261 AUIPC:22:29 JALR:19:25 LB:16:16 LBU:73:73 LD:385:400 LW:18:18 LWU:8:8 MUL:17:18 OR:671:672 SLL:665:667 SLLW:8:8 SLTU:12:16 SRL:27:27 SRLW:682:682 SUB:15:20 SUBW:8:8 XOR:708:710,guests/lacuna_seeds/src/bin/st_redirect.rs,guests/lacuna_seeds/elf/st_redirect
st_control_flow,pico,Control flow,"ADD,LD",mixed,"1,0x1111111111111111,0x2222222222222222",true,5313,4752,4578,0x200bb8-0x200e20,ADD:944:1025 ADDW:12:14 AND:248:266 AUIPC:23:37 JALR:20:32 LB:16:16 LBU:81:81 LD:395:417 LW:18:18 LWU:8:8 MUL:17:18 OR:671:672 SLL:665:669 SLLW:8:8 SLTU:12:20 SRL:27:27 SRLW:682:682 SUB:15:22 SUBW:8:8 XOR:708:712,guests/lacuna_seeds/src/bin/st_control_flow.rs,guests/lacuna_seeds/elf/st_control_flow
st_initial_state,pico,Initial state,LD,memory,0,true,5023,4536,4496,0x200bb8-0x200c40,ADD:940:959 ADDW:12:12 AND:248:256 AUIPC:21:21 JALR:18:18 LB:16:16 LBU:57:57 LD:373:381 LW:18:18 LWU:8:8 MUL:17:18 OR:657:658 SLL:651:651 SLLW:8:8 SLTU:12:12 SRL:27:27 SRLW:682:682 SUB:15:18 SUBW:8:8 XOR:708:708,guests/lacuna_seeds/src/bin/st_initial_state.rs,guests/lacuna_seeds/elf/st_initial_state
fib,pico,Whole program,ALL,mixed,10,true,11298,9875,5040,0x200bb8-0x200e6c,ADD:1184:2371 ADDW:15:22 AND:261:543 AUIPC:50:64 JALR:49:64 LB:32:53 LBU:75:161 LD:492:946 LHU:1:2 LW:26:66 LWU:9:10 MUL:20:29 OR:665:1300 SLL:667:1299 SLLW:8:8 SLTU:18:48 SRL:42:46 SRLW:682:1354 SUB:25:60 SUBW:10:15 XOR:709:1414,(pico in-tree fibonacci ELF; no source in this repo),<upstream>/pico/vm/src/compiler/test_elf/riscv64im-pico-fibnacci-elf
op_add,nexus,Single operation,ADD,base-ALU,see driver,true,10,8,8,NA (whole program is the seed),ADDI:4 LW:1 SW:2 ECALL:1 ADD:1,<upstream>/nexus/prover2/machine/src/lacuna_eval.rs::build_op_elf (programmatic ElfFile; no guest toolchain),NA (built in-process)
op_and,nexus,Single operation,AND,base-ALU,see driver,true,10,8,8,NA (whole program is the seed),ADDI:4 LW:1 SW:2 ECALL:1 AND:1,<upstream>/nexus/prover2/machine/src/lacuna_eval.rs::build_op_elf (programmatic ElfFile; no guest toolchain),NA (built in-process)
op_or,nexus,Single operation,OR,base-ALU,see driver,true,10,8,8,NA (whole program is the seed),ADDI:4 LW:1 SW:2 ECALL:1 OR:1,<upstream>/nexus/prover2/machine/src/lacuna_eval.rs::build_op_elf (programmatic ElfFile; no guest toolchain),NA (built in-process)
op_sll,nexus,Single operation,SLL,base-ALU,see driver,true,10,8,8,NA (whole program is the seed),ADDI:4 LW:1 SW:2 ECALL:1 SLL:1,<upstream>/nexus/prover2/machine/src/lacuna_eval.rs::build_op_elf (programmatic ElfFile; no guest toolchain),NA (built in-process)
op_slt,nexus,Single operation,SLT,base-ALU,see driver,true,10,8,8,NA (whole program is the seed),ADDI:4 LW:1 SW:2 ECALL:1 SLT:1,<upstream>/nexus/prover2/machine/src/lacuna_eval.rs::build_op_elf (programmatic ElfFile; no guest toolchain),NA (built in-process)
op_sltu,nexus,Single operation,SLTU,base-ALU,see driver,true,10,8,8,NA (whole program is the seed),ADDI:4 LW:1 SW:2 ECALL:1 SLTU:1,<upstream>/nexus/prover2/machine/src/lacuna_eval.rs::build_op_elf (programmatic ElfFile; no guest toolchain),NA (built in-process)
